Book Type,Book Name,Reading Status,Rating,Author,Start Date,End Date,Pages,Year,Genre,Gender,Duration
Book,The Lies of Locke Lamora,Finished,4,Scott Lynch,6/7/2023,12/18/2023,719,2023,Fantasy,Male,194
E-Book,Survive the Night,Finished,4,Riley Sager,11/4/2023,11/7/2023,324,2023,Horror/Thriller,Female,3
Book,Stone Maidens,Finished,4,Lloyd Devereux Richards,11/1/2023,11/29/2023,311,2023,Crime,Male,28
Book,Harry Potter and the Chamber of Secrets,Finished,5,JK Rowling,11/5/2023,11/7/2023,341,2023,Fantasy,Female,2
E-Book,Two Twisted Crowns(2),Finished,4,Rachel Gillig,10/14/2023,10/15/2023,432,2023,Fantasy,Female,1
E-Book,One Dark Window(1),Finished,4,Rachel Gillig,10/12/2023,10/13/2023,399,2023,Fantasy,Female,1
Book,The Buthcer and the Wren,Finished,2,Alaina Urquhart,10/3/2023,10/30/2023,252,2023,Crime,Female,27
Book,Harry Potter and the sorcerer’s Stone,Finished,5,JK Rowling,9/7/2023,9/12/2023,309,2023,Fantasy,Female,5
E-Book,The Shield Maiden,Finished,3,Michael Pearce,9/15/2023,9/16/2023,77,2023,Crime,Male,1
E-Book,The Handyman Method,Finished,4,Nick Cutter,9/20/2023,9/29/2023,261,2023,Horror/Thriller,Male,9
E-Book,The Silent Patient,Finished,4,Alex Michaelides,08/27/2023,8/29/2023,362,2023,Horror/Thriller,Male,2
5,Final Girls,Finished,4,Riley Sager,8/20/2023,8/25/2023,339,2023,Horror/Thriller,Female,5
Book,Outlander,Finished,3,Dian Galedon,8/12/2023,8/16/2023,850,2023,Romance,Female,4
Book,The Last Colony,Finished,5,John Scalzi,8/5/2023,8/10/2023,324,2023,Sci-Fi,Male,5
Book,The Troop,Finished,4,Nick Cutter,7/13/2023,7/17/2023,407,2023,Horror/Thriller,Male,4
Book,Thud,Finished,4,Terry Pratchett,5/15/2023,6/24/2023,382,2023,Fantasy,Male,40
Book,The Ghost Bridages,Finished,4,John Scalzi,6/21/2023,6/25/2023,374,2023,Sci-Fi,Male,4
Book,Dead Silence,Finished,5,S.A. Barnes,5/11/2023,5/13/2023,339,2023,Horror/Thriller,Male,2
Book,Verity,Finished,4,Colleen Hoover,5/6/2023,5/7/2023,314,2023,Horror/Thriller,Female,1
Book,Circe,Finished,5,Madeline Miller,5/2/2023,5/4/2023,385,2023,Fantasy,Female,2
Book,Dark Secrets,Finished,3,Meagan Pierce,1/3/2023,1/24/2023,275,2023,Romance,Female,21
